source_id,target_key,trim,year_month,mileage_km,price_won
42229423,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2025-02,15280,32300000
42232238,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2024-10,30316,31500000
42233030,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2026-06,5,24000000
42234102,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2024-10,79251,27990000
42244206,KOLEOS_HEV,1.5 E-TECH 에스프리 알핀 2WD,2024-10,79251,27990000
42251585,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2025-10,20450,34600000
42251587,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2025-10,20450,34600000
42252189,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2024-12,15806,26990000
42260508,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2025-09,7100,29900000
42265392,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2024-12,68208,28490000
42275202,KOLEOS_HEV,1.5 E-TECH 에스카파드 2WD,2025-11,8693,38990000
42280328,KOLEOS_HEV,1.5 E-TECH 아이코닉 2WD,2024-12,68208,28490000
42282191,KOLEOS_HEV,1.5 E-TECH 에스카파드 2WD,2025-11,8693,38990000
